Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,GarageCars,SalePrice
1,60,RL,65,8450,Pave,NA,Reg,Lvl,AllPub,Inside,CollgCr,1Fam,2Story,7,5,2003,2003,2,208500
2,20,RL,80,9600,Pave,NA,Reg,Lvl,AllPub,"""""",Veenker,1Fam,1Story,6,8,1976,1976,2,181500
3,60,RL,68,11250,Pave,NA,IR1,Lvl,AllPub,Inside,CollgCr,1Fam,2Story,7,5,2001,2002,2,223500
4,70,RL,60,9550,Pave,NA,IR1,Lvl,AllPub,Corner,Crawfor,1Fam,2Story,7,,1915,1970,3,140000
5,60,RL,84,14260,Pave,NA,IR1,Lvl,AllPub,FR2,NoRidge,1Fam,2Story,8,5,-1,2000,3,250000
6,50,RL,85,-1,Pave,NA,IR1,Lvl,AllPub,Inside,Mitchel,1Fam,1.5Fin,5,5,1993,1995,2,143000
7,20,RL,75,10084,Pave,NA,Reg,Lvl,AllPub,Inside,Somerst,1Fam,1Story,8,5,2004,2005,2,307000
8,60,RL,NA,10382,Pave,NA,IR1,Lvl,AllPub,"""""",NWAmes,1Fam,2Story,7,6,1973,1973,2,200000
9,50,RM,51,6120,Pave,NA,Reg,Lvl,AllPub,Inside,OldTown,1Fam,1.5Fin,,5,1931,1950,2,129900
10,190,RL,50,7420,Pave,NA,Reg,Lvl,AllPub,Corner,BrkSide,2fmCon,n/a,5,6,1939,1950,1,118000
11,20,RL,70,11200,Pave,NA,Reg,Lvl,AllPub,Inside,Sawyer,1Fam,1Story,5,5,1965,1965,1,129500
12,60,RL,85,11924,Pave,NA,IR1,Lvl,AllPub,Inside,NridgHt,1Fam,2Story,9,5,2005,2006,3,345000
13,20,RL,NA,12968,Pave,NA,IR2,Lvl,AllPub,Inside,Sawyer,1Fam,1Story,5,6,1962,1962,1,144000
14,20,RL,91,10652,Pave,NA,IR1,Lvl,AllPub,Inside,CollgCr,1Fam,1Story,7,5,2006,2007,3,279500
15,20,RL,NA,10920,Pave,NA,IR1,Lvl,AllPub,Corner,NAmes,1Fam,1Story,6,5,-1,1960,1,157000
16,45,RM,51,6120,Pave,NA,Reg,Lvl,AllPub,Corner,BrkSide,1Fam,1.5Unf,,8,1929,2001,2,132000
17,20,RL,NA,11241,Pave,NA,IR1,Lvl,AllPub,CulDSac,NAmes,1Fam,1Story,6,7,1970,1970,2,149000
18,90,RL,72,10791,Pave,NA,Reg,Lvl,AllPub,Inside,Sawyer,Duplex,1Story,4,5,1967,1967,2,90000
19,20,RL,66,-1,Pave,NA,Reg,Lvl,AllPub,"""""",SawyerW,1Fam,1Story,5,5,2004,2004,2,159000
20,20,RL,70,7560,Pave,NA,Reg,Lvl,AllPub,Inside,NAmes,1Fam,n/a,5,6,1958,1965,1,139000
21,60,RL,101,14215,Pave,NA,IR1,Lvl,AllPub,Corner,NridgHt,1Fam,2Story,8,5,2005,2006,3,325300
22,45,RM,57,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,IDOTRR,1Fam,1.5Unf,7,7,1930,1950,1,139400
23,20,RL,75,9742,Pave,NA,Reg,Lvl,AllPub,Inside,CollgCr,1Fam,1Story,8,5,2002,2002,2,230000
24,120,RM,44,4224,Pave,NA,Reg,Lvl,AllPub,Inside,MeadowV,TwnhsE,n/a,5,7,1976,1976,2,129900
25,20,RL,NA,8246,Pave,NA,IR1,Lvl,AllPub,Inside,Sawyer,1Fam,1Story,5,8,1968,2001,1,154000
26,20,RL,110,14230,Pave,NA,Reg,Lvl,AllPub,Corner,NridgHt,1Fam,1Story,8,5,2007,2007,3,256300
27,20,RL,60,7200,Pave,NA,Reg,Lvl,AllPub,Corner,NAmes,1Fam,1Story,5,7,1951,2000,2,134800
28,20,RL,98,11478,Pave,NA,Reg,Lvl,AllPub,Inside,NridgHt,1Fam,1Story,8,5,2007,2008,3,306000
29,20,RL,47,16321,Pave,NA,IR1,Lvl,AllPub,CulDSac,NAmes,1Fam,1Story,5,6,1957,1997,1,207500
30,30,RM,60,6324,Pave,NA,IR1,Lvl,AllPub,Inside,BrkSide,1Fam,1Story,4,,1927,1950,1,68500
31,70,C (all),50,8500,Pave,Pave,Reg,Lvl,AllPub,Inside,IDOTRR,1Fam,2Story,4,4,1920,1950,1,40000
32,20,RL,NA,8544,Pave,NA,IR1,Lvl,AllPub,CulDSac,Sawyer,1Fam,1Story,5,6,1966,2006,1,149350
33,20,RL,85,11049,Pave,NA,Reg,Lvl,AllPub,Corner,CollgCr,1Fam,1Story,,5,2007,2007,2,179900
34,20,RL,70,10552,Pave,NA,IR1,Lvl,AllPub,Inside,NAmes,1Fam,1Story,5,5,1959,1959,2,165500
35,120,RL,60,7313,Pave,NA,Reg,Lvl,AllPub,Inside,NridgHt,TwnhsE,1Story,9,5,2005,2005,2,277500
36,60,RL,108,13418,Pave,NA,Reg,Lvl,AllPub,Inside,NridgHt,1Fam,2Story,8,5,2004,2005,3,309000
37,20,RL,112,10859,Pave,NA,Reg,Lvl,AllPub,Corner,CollgCr,1Fam,1Story,5,5,1994,1995,2,145000
38,20,RL,74,-1,Pave,NA,Reg,Lvl,AllPub,Inside,NAmes,1Fam,1Story,5,6,1954,1990,2,153000
39,20,RL,68,7922,Pave,NA,Reg,Lvl,AllPub,Inside,NAmes,1Fam,1Story,5,7,1953,2007,1,109000
40,90,RL,65,6040,Pave,NA,Reg,Lvl,AllPub,Inside,Edwards,Duplex,1Story,4,5,1955,1955,0,82000
41,20,RL,84,8658,Pave,NA,Reg,Lvl,AllPub,Inside,NAmes,1Fam,1Story,6,5,1965,1965,2,160000
42,20,RL,115,16905,Pave,NA,Reg,Lvl,AllPub,Inside,Timber,1Fam,1Story,5,6,1959,1959,1,170000
43,85,RL,NA,9180,Pave,NA,IR1,Lvl,AllPub,CulDSac,SawyerW,1Fam,SFoyer,5,7,1983,1983,2,144000
