Date,Marketing_Spend,Price_Index,Customer_Satisfaction,Competitor_Promo,Sales
1/31/2020,27.48,101.83,7.4,0,87.35
2/29/2020,24.31,104.54,6.74,0,78.28
3/31/2020,28.24,107.02,6.21,0,68.76
4/30/2020,32.62,108.46,7.66,0,88.45
5/31/2020,23.83,100.2,6.89,0,62.51
6/30/2020,23.83,103.66,6.36,1,55.68
7/31/2020,32.9,103.1,6.98,1,88.24
8/31/2020,28.84,102.39,6.63,0,105.22
9/30/2020,22.65,112.06,8.85,0,55.52
10/31/2020,27.71,106.62,8.21,0,84.45
11/30/2020,22.68,99.96,7.49,0,80.55
12/31/2020,22.67,108.67,8.68,1,66.55
1/31/2021,26.21,113.49,7.56,0,54.43
2/28/2021,15.43,109.13,6.81,0,30.74
3/31/2021,16.38,98.92,8.72,0,77.68
4/30/2021,22.19,103.06,7.93,0,74.23
5/31/2021,19.94,110.07,6.67,0,33.54
6/30/2021,26.57,102.17,7.35,1,70.03
7/31/2021,20.46,106.78,6.8,0,59.57
8/31/2021,17.94,108.1,6.39,0,24.42
9/30/2021,32.33,101.29,8.24,0,111.01
10/31/2021,23.87,104.76,9.03,1,59.95
11/30/2021,25.34,92.03,6.38,1,93.94
12/31/2021,17.88,100.9,7.95,0,49.76
1/31/2022,22.28,103.99,6.98,0,57.12
2/28/2022,25.55,100.01,7.11,0,87.28
3/31/2022,19.25,111.53,7.03,0,50.82
4/30/2022,26.88,99.28,6.81,1,71.26
5/31/2022,22,103.24,7.54,0,62.67
6/30/2022,23.54,105.52,6.84,0,80.35
7/31/2022,21.99,110.77,7.72,0,36.32
8/31/2022,34.26,99.26,7.46,0,92.32
9/30/2022,24.93,109.65,7.31,0,63.55
10/31/2022,19.71,105.04,6.77,1,30.67
11/30/2022,29.11,101.07,7.04,0,80.76
12/31/2022,18.9,106.85,8.1,0,61.46
1/31/2023,26.04,105.8,7.9,0,79.26
2/28/2023,15.2,102.6,6.72,0,37.22
3/31/2023,18.36,105.28,7.58,0,39.72
4/30/2023,25.98,103.46,8.1,0,92.81
5/31/2023,28.69,105.45,6.16,1,63.23
6/30/2023,25.86,107.65,7.93,0,70.9
7/31/2023,24.42,111.34,6.97,0,69.14
8/31/2023,23.49,100.05,7.96,0,73.32
