date,region,product,price,quantity,customer_type,revenue
2025-01-01,East,Tablet,796,5,Returning,3980
2025-01-02,West,Tablet,601,3,New,1803
2025-01-03,North,Laptop,480,9,New,4320
2025-01-04,East,Laptop,906,4,Returning,3624
2025-01-05,East,Phone,1422,5,New,7110
2025-01-06,West,Laptop,999,4,New,3996
2025-01-07,North,Tablet,1292,5,New,6460
2025-01-08,North,Tablet,1439,7,Returning,10073
2025-01-09,East,Laptop,490,9,Returning,4410
2025-01-10,South,Tablet,552,7,New,3864
2025-01-11,East,Tablet,1280,5,Returning,6400
2025-01-12,East,Laptop,1227,7,New,8589
2025-01-13,East,Laptop,1484,5,New,7420
2025-01-14,East,Tablet,427,3,New,1281
2025-01-15,West,Tablet,317,7,New,2219
2025-01-16,North,Tablet,865,2,Returning,1730
2025-01-17,West,Phone,869,9,Returning,7821
2025-01-18,West,Phone,985,1,Returning,985
2025-01-19,West,Phone,925,6,New,5550
2025-01-20,East,Laptop,1153,7,Returning,8071
2025-01-21,South,Phone,1261,8,New,10088
2025-01-22,North,Laptop,454,9,Returning,4086
2025-01-23,South,Laptop,789,2,New,1578
2025-01-24,West,Phone,1084,2,New,2168
2025-01-25,West,Phone,1427,5,New,7135
2025-01-26,South,Phone,545,5,Returning,2725
2025-01-27,South,Tablet,1499,6,Returning,8994
2025-01-28,South,Phone,1362,3,Returning,4086
2025-01-29,West,Tablet,1058,8,Returning,8464
2025-01-30,West,Laptop,837,1,New,837
2025-01-31,North,Tablet,1220,6,Returning,7320
2025-02-01,North,Phone,707,4,Returning,2828
2025-02-02,West,Laptop,824,1,New,824
2025-02-03,South,Laptop,1127,7,New,7889
2025-02-04,South,Laptop,1202,9,New,10818
2025-02-05,North,Tablet,335,4,Returning,1340
2025-02-06,West,Phone,984,4,New,3936
2025-02-07,North,Laptop,319,6,New,1914
2025-02-08,North,Laptop,620,3,New,1860
2025-02-09,East,Laptop,811,6,Returning,4866
2025-02-10,East,Tablet,699,7,New,4893
2025-02-11,East,Tablet,953,3,Returning,2859
2025-02-12,South,Phone,1271,7,Returning,8897
2025-02-13,West,Tablet,770,3,New,2310
2025-02-14,West,Laptop,1466,2,New,2932
2025-02-15,West,Phone,1415,4,Returning,5660
2025-02-16,West,Laptop,1133,8,New,9064
2025-02-17,East,Laptop,1026,9,New,9234
2025-02-18,South,Tablet,1153,7,Returning,8071
2025-02-19,South,Phone,350,1,Returning,350
2025-02-20,East,Tablet,874,3,New,2622
2025-02-21,South,Tablet,1448,9,Returning,13032
2025-02-22,East,Phone,449,1,New,449
2025-02-23,West,Laptop,613,9,New,5517
2025-02-24,East,Laptop,869,8,New,6952
2025-02-25,West,Phone,604,1,Returning,604
2025-02-26,West,Laptop,981,6,New,5886
2025-02-27,North,Phone,1137,5,New,5685
2025-02-28,East,Phone,1377,6,New,8262
2025-03-01,North,Tablet,1302,5,Returning,6510
2025-03-02,East,Phone,743,6,Returning,4458
2025-03-03,East,Tablet,912,5,Returning,4560
2025-03-04,North,Laptop,1292,5,Returning,6460
2025-03-05,North,Laptop,563,4,Returning,2252
2025-03-06,East,Laptop,1376,3,New,4128
2025-03-07,South,Laptop,1303,3,Returning,3909
2025-03-08,West,Tablet,304,4,Returning,1216
2025-03-09,North,Laptop,1426,9,Returning,12834
2025-03-10,West,Phone,1073,2,New,2146
2025-03-11,South,Phone,1176,9,Returning,10584
2025-03-12,South,Phone,1291,1,Returning,1291
2025-03-13,South,Tablet,1183,1,New,1183
2025-03-14,North,Laptop,346,5,Returning,1730
2025-03-15,South,Laptop,1166,6,New,6996
2025-03-16,North,Laptop,1122,6,New,6732
2025-03-17,South,Tablet,1235,3,New,3705
2025-03-18,West,Phone,955,7,New,6685
2025-03-19,West,Phone,568,9,New,5112
2025-03-20,East,Laptop,669,8,Returning,5352
2025-03-21,West,Phone,935,6,New,5610
2025-03-22,East,Phone,1429,8,New,11432
2025-03-23,West,Tablet,956,5,Returning,4780
2025-03-24,North,Tablet,419,8,New,3352
2025-03-25,West,Tablet,1130,4,Returning,4520
2025-03-26,East,Tablet,1381,8,Returning,11048
2025-03-27,East,Laptop,1040,2,Returning,2080
2025-03-28,South,Tablet,416,5,New,2080
2025-03-29,North,Phone,1090,9,New,9810
2025-03-30,West,Laptop,1450,4,New,5800
2025-03-31,South,Phone,1312,6,Returning,7872
2025-04-01,West,Phone,1381,1,New,1381
2025-04-02,West,Phone,933,9,New,8397
2025-04-03,South,Tablet,812,1,New,812
2025-04-04,South,Tablet,1101,5,Returning,5505
2025-04-05,South,Laptop,1419,4,Returning,5676
2025-04-06,South,Laptop,1441,3,New,4323
2025-04-07,South,Tablet,859,6,New,5154
2025-04-08,West,Phone,787,2,New,1574
2025-04-09,South,Laptop,1196,3,New,3588
2025-04-10,North,Tablet,1003,5,Returning,5015
2025-04-11,East,Tablet,880,9,Returning,7920
2025-04-12,South,Tablet,1089,2,Returning,2178
2025-04-13,South,Phone,1160,8,Returning,9280
2025-04-14,West,Tablet,546,2,New,1092
2025-04-15,South,Tablet,1399,5,New,6995
2025-04-16,South,Tablet,453,7,New,3171
2025-04-17,South,Tablet,1296,8,Returning,10368
2025-04-18,West,Laptop,1409,1,New,1409
2025-04-19,South,Laptop,996,6,Returning,5976
2025-04-20,East,Tablet,1392,1,Returning,1392
2025-04-21,West,Phone,1370,2,New,2740
2025-04-22,East,Laptop,1308,1,New,1308
2025-04-23,West,Tablet,393,5,New,1965
2025-04-24,South,Laptop,1257,9,Returning,11313
2025-04-25,East,Laptop,1311,6,New,7866
2025-04-26,West,Phone,752,1,Returning,752
