text,sentiment
"Cooking microwave pizzas, yummy",positive
Any plans of allowing sub tasks to show up in the widget?,neutral
" I love the humor, I just reworded it. Like saying 'group therapy' instead`a 'gang banging'. Keeps my moms off my back.   Hahaha",positive
 naw idk what ur talkin about,neutral
 That sucks to hear. I hate days like that,negative
 Umm yeah. That`s probably a pretty good note to self because eeeeeewwwwwwww.,positive
 whatever do you mean?,neutral
 That would panic me a little!  Maybe you can read on an orbitron at the gym like I do...when all else fails?!?,negative
Is sad when people`s phones are dead,negative
  sad face.,negative
"In cafe management, the end of the month is nothing but numbers. My arty little head hurts from finding discrepencies",negative
"Basically I`ve listened to Miley Cyrus for fourteen hours now, and I love it.",positive
 what did you think of the finale?  I thought it was kind of a cheap way out,negative
" I think that boat sailed my friend... The few CCO`s that had them, had them months ago....  I wish you luck though...",positive
Gave my mommy her Mother`s Day present. Tickets to Aerosmith (her favorite band everr.) Yay for a good reaction.,positive
"Installed office for Mac & messed up all my fonts on safari, **** on a stick! help! can`t even read the solutions online  #badmicrosoft",negative
 You`re welcome...,positive
Ok so I`m **** hungry....!  I`m fat I know..I know..! Aha,negative
Early monday cramming... yay. Only a few weeks left,neutral
ok its FF soooo why isn`t anyone following MEEEE??? LOL ughhhh I have some lazy a%# followers they wont even help me out,neutral
Has Ruth today,neutral
(bye) plurk out muna. will be back when im done reading the book  http://plurk.com/p/rq9c7,neutral
gonna have a lazy day today,negative
I am tired.,negative
 http://twitpic.com/3ernb - Loving The Jumper,positive
"_NZ busy,fun mother`s day thanks  got what I wanted...a Wii Fit!!! Yay",positive
"This app is just great, it not only reminds me what I need to do, it really motivates me to do stuff. the only problem I'm facing, whenever I try to mark a task as completed, the task crashes, and then it updates and actually shown as completed, except this annoying bug, I love it.",positive
Still at work.,neutral
_by_spork we shall see,neutral
"Guess I`m gonna try the nap thing again 2day, but since my kids haven`t cooperated with it yet this week I`m sure 2day won`t be different",negative
odd i tried to call mitchel musso but it dosent work....,negative
LUCY IS HATING ON MY GWEG!,negative
"  Ah  sameway Yet, has 2006 votes ((.We need more vote :`D",neutral
@_missrachel how much?,neutral
"shall bring his own glass to work from tonight, no more `half half` hor!!",neutral
"Not as useful as Wunderlist... Yet!! Would prefer to have a tab for the ""week"". Not just day, that way I can anticipate. Also wish items would show up in my calendar.",neutral
"() UGH, i love tila. haters need to shut up",neutral
Wow - the dude said I was better than Bobbi Lewis.. never heard the guy - but I take that as a compliment  (just read the BL web site),positive
 oh no  say it aint so,negative
"Great planning app, reliable and easy to use.",positive
is chilling at home,positive
I hope that they could have an alarm after the rest session ends,neutral
Helpful to visualize recurring events on Google calendar.,positive
yep... i think i might have just made the decision to go head first...  we may be witnessing a historical moment... real talk,neutral
 was jst out there wednesday,neutral
 Could get  to do the honours?,neutral
 yeah... it`s gonna be a long while for me.,neutral
"waking now, so lazy and very worry ...",negative
 hehe i will never thorw out these shoes  i`m listening to varsity fanclub surprise surprise  sway sway baby is awesome,positive
 thanks dinno  appreciate it,positive
Upgraded and lost all my tasks from previous version ... very disappointed!!!,negative
Dam only 5 votes  not gonna win anything now,negative
Hebrew language doesn't work...,positive
Loving Lego Indiana Jones. A game-researching aracheologist`s dream,positive
Download movie  'Ben 10: Alien Force' http://tinyurl.com/czb7b2 cool #movie,positive
" Years ago, my brother saw you and Bruce walking on the sidewalk in Sanibel. I used to live on Pine Is. Great place",positive
 so technically....i havent really gotten out of bed. so i think you`re right and i`m gonna stay here!,neutral
Stu is actually SEVERLY sunburnt....it hurts!!!,negative
homework,neutral
My TI89 died. I don`t know why.,negative
It's a wonderful app,positive
"6:29 pm - ok, let`s go now through #bowman #strategicClock but first.. a break :-0 aargh.. tired",negative
Not feeling very well.,negative
Easy to use. I will however like to have a time boxing feature for my daily activities.,positive
URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES,negative
 *hug*,positive
"_peek mkay :/ did you tell him on msn? bfgurelgbsr yeah, i guess so, i don`t know if i like it, i`ll wait till i get your opinion",neutral
"too much good food on this Mother`s Day. not that i`m complaining! Seafood, durian puffs and macarons! yum!",positive
" Totally unsurprised that Dave isn`t coming back to 10. But Annalisa is wrong for it, opposite of big warm mellow Dave.",negative
i`m hungry but can`t eat anything right now because my tongue hurts so bad.,negative
"wowza, only the second tweet of my entire trip and i leave in 3 days   but first - BLOW UP SF TOMORROW NIGHT!",neutral
is getting married in Vegas in November by an Elvis impersonator am so happy!!!,positive
 you dont say,neutral
OMG - Madness Just Came On The Radio,negative
@_Freya Good Night,positive
"leaving work, going to crystal to search for her license, picking her and bia up, then heading to vegas. ugh i`m tired already",negative
 I`ma say you should smudge yourself before I start calling people given the malicious action we pulled the other night,negative
 hope u did alright on the final,positive
"Very nice, very simple, very usefull, but the free mode is too annoyingly limited. looking forward to having the ability to link habits with my wife or friends.",neutral
 agreed,neutral
App is good but it could have better,neutral
useless I dont want to purchase the app as this free version offers no good features.. the paid app might be better..Rating 2 just because of the feedback on user review.,negative
My breath is weezy.  No more going to knotts when you`ve been sick all week.,negative
Been invited to join a group in Second Life called 'Ballistic Autistics'.  Cute name.,positive
"Some features widely requested and very useful are missing: - Task with due date should automatically appear on 'My day' - Forward email to Microsoft ToDo address and automatically add a task - Sort task by modification date, the ideia is to have on top the oldest task that I've updated - Very important feature, COMMENTS, ability to make comment on the task with timestamp - Tags, must have tags to more easily search and filter Please improved Microsoft ToDo with this features",negative
"I wish it would sync, so I could use it on all devices",neutral
"Gonna go round up some DVDs to sell...  I will miss them, but I need money!",negative
Wtf was that **** 5 mins before the marked closed...FAZ you cost me 4 grand,negative
Got a Saturdays framed signed foto last night  and a Valentino rossi 1 aswell  eee what a night,positive
Very useful and flexible for scheduling tasks. It can be better by employing ML to guess the best choice of time for any task.,positive
why won't my homescreen widget display all day events? this makes it really difficult to use,neutral
"The app is great, and I´ve started to use it rather than wunderlist. Just 3 stars because I don´t think the My Day section makes sense. Tasks flagged as to be done today, in others lists, should appear in My Day, as those are the tasks for Today, seems My Day only considers tasks added specifically to that list, and that makes it confusing and redundant, as in Planned, the right logic is applied, where you see planned tasks for today and ahead. Shouldn´t the same logic apply to the My Day window? Or I am doing something wrong?",neutral
"Went to get dog from vets, theyve stitched her ear, charged us for it but she still bleeds like a waterfall everytime she moves. D: WHY!",negative
"going out with my tita gi, sister and my beloved lola! Were going to treat her for dinner! Wohoo... So excited and hungry...",positive
 I like all the songs  I can`t say just one guys! love ya,positive
 Thanks for the link Geoff,positive
"Nice planner but you shouldn't have to pay to have ""week""view. I may not purchase now.",neutral
It's really confusing! Its hadd to make routines and stuff. Just over all really confusing. But over great way to track routines. I love the tag idea. Mabey you should add a default school tag?,neutral
has just bought attics to eden by madina lake  it`s totally AMAZING,positive
 ack! I just read about your show  that`s horrible!!! No accounting for taste.,negative
" I know! I can barely believe it`s almost over! Thanks for the review, lovely!",positive
 I wanna watch that movie again. Maybe that dvd will work in my laptop since Dawson`s Creek doesn`t,neutral
_nicole http://twitpic.com/4t6qx - i have the exact same pic except it`s my hubby & my chihuahua tucker   very cute.,positive
 you need to share the h/w love! Some of us are still rocking 2008`s gear.,positive
_n Where can I get some?,neutral
I used this calander app for years and found it to be excellent. But recently it started playing full page video ads making accessing information on the fly unreliable. I'm sure the paid version is still great but I cant recommend using this as a free calander app anymore.,negative
The layout for the app is awesome. But it would be better if non-routine task can be added into the timeline with the same activity for routine task.,neutral
Watching twilight and eating potato salad.,neutral
installed the new modem which is meant to run 5 times faster than the old one and its slower  what the hell? gah slow internet kills me,negative
My car is in the car hospital for the nxt 7 days  I gotta go pick up a loaner car b4 6! Bein without wheels 4 7day will set me back heavy!,neutral
" lol what bothers me is that i`m messing with my metabolism   drinking lots of water pretending its different food, Mmmm grapes!",negative
Only 24hr option? no 12. Would be cool if you could color code the circles in the calendar date to that calendar that has an event for that day.,neutral
Omg. Its 1:47 am and Kim Possible is on Disney Channel right now. I am glued to the screen,positive
"Full package for IDR 139000, got a 33% discount but still IDR 139000",neutral
Following _aisa These guys could be shifty but worth following regardless.,positive
"This task app is the only decent option I've found for combining tasks and calendar events into one scrollable widget. Tasks can be set to repeat from the date completed, which is essential for things like haircuts and cleaning schedules. Unfortunately, neither the app nor the widget (which is especially important) has many customization options. One option I would like, in particular, is the ability to hide the widget's title bar. Obviously color and display options would be nice, too.",neutral
_J think so.. although think i am being ignored! not a good day,negative
"mmm, pizza for dinner. yum. but i burnt my mouth though ..",positive
...definitely the first time I`ve felt alive again in years. Super happy,positive
Twitter stop being a **** and let me change my background image!  (imagine a shiny NHL ring in the background),negative
I`m so proud of Dr. House for detoxing.  His Amber hallucination is evil!!,positive
The best yet!,positive
Enjoyed last night at what I call 'real world social networking' -  LOK event in Vancouver.  It was great!.  But headeache today,neutral
looking forward to Ben`s baseball game tonight,neutral
"I have used Wunderlist for about 5 years, but now its being retired. I tested and tried 10+ apps since then, and none were that great. I stumbled upon TickTick, and wish I had started using it years ago. TickTick has much greater customization options, and does a great job of incentivizing completion of tasks via feedback. It has made my life much easier. I do wish the widget had options to change how it appears, the ""to dos"" do not have breaks between them.",positive
 my friday feels boring too. no time for fun today and not so much in the mood for it either,negative
 no labels?  Sorry I know I`m really needy.,negative
It's actually good but it doesn't have a feature where your task appears on your lockscreen that will remind you everytime you forgot something to do.,neutral
" thats what doting husbands are for LOL!!  I hope that once my braces go on, I can eat normally again",positive
Tedious and annoying to use. Went back to using Google Keep.,negative
 the no tweeting guilt trip didn`t stop you huh?  I felt so bad!,negative
  i would love to come visit you in Korea.. next flight that is under 100 i am there!,positive
" that`s cool. Well if you need any more help regarding that, Google is your friend. Plenty of info on that!",positive
big shout out to all my home girls you know who you are,neutral
_agwl Talking to whom? This `Shah Rukh Khan` is an imposter here... LOL! BTW thanx for the follow...,neutral
"Ok, first assesment of the #kindle2 ...it fucking rocks!!!",positive
"Hernia is hurting way more than usual tonight, no way I`m able to go out!",negative
Just touched down in Changi. +1/2 hrs to kill before heading to Penang.  Must fly singapore air more often!,neutral
Heading to the U of Utah hospital. Have a great day everyone,positive
 it`s like the library equivalent of 'it`s 5 o`clock somewhere.' someone else in on the ref desk somewhere,neutral
"It really helped dude, I have online school and since there is no teacher to scream at me I delay my work but never seem to do it. But thanks to this app I'm planning everything and I'm slowly getting back in track. Recommend to all students out there",positive
 i know i suck.  my data plan is weak sauce.,negative
" Ouch! Sunburn`s bad! Hope it`s not to sore on your bedding, that`s always the problem.",negative
The motivational messages are annoying. You can only track up to 5 habits in the free version but it is totally not worth paying for more. Good riddance. I suppo this kind of app is just not for me.,negative
" MANDY!!!  IT WON`T LET ME VOTE  I WANT HER TO WIN BUT I CAN`T HELP, I AM GONNA JUMP OFF A BRIDGE (KIDDING) BUT THIS SUX",neutral
the fact my room is so hot is making me feel sick,negative
 That`s just how babies are  Their little rhythms are still in sinc with when they were inutero.,neutral
Gonna celebrate Mothers Day with the family but gonna start the partying tonite,positive
I just bought pro on my tablet 15 minutes ago and then installed Sectograph on my phone and it says I have to buy pro again. What the heck happened with syncing google accounts,negative
Has got to look for a job this weekend,neutral
