text,sentiment
Áo bao đẹp ạ!,positive
Tuyệt vời,positive
2day ao khong giong trong,negative
"Mùi thơm,bôi lên da mềm da",positive
"Vải đẹp, dày dặn",positive
"Hàng rất đẹp, rất chi là ưng ý",positive
"Chất lượng sản phẩm tốt, date dài",positive
Ăn nói và thái độ phục vụ tốt,positive
Đóng gói sản phẩm chắc chắn,positive
tất sờn hết ca chưa dùng mà vay r,negative
Shop phục vụ rất tốt,positive
Mặc thì cũng đc,neutral
Chất vải khỏi chê,positive
Thời gian giao hàng rất nhanh,positive
Chất lượng sản phẩm tuyệt vời,positive
vải hơi thô cứng Thời gian giao hàng nhanh,positive
Chất lượng sp chưa thật sự đẹp nhe shop,positive
Rất đáng tiền Thời gian giao hàng rất nhanh,positive
Quần rất đẹp mặc vừa vặn,positive
Cảm giác mua hàng bị hớ thật tệ,negative
Khi mua về nên đi sửa lại,negative
Với giá này thì sản phẩm tạm ổn chưa đc gọi là đẹp lắm,neutral
Rất đáng tiền Thời gian giao hàng rất nhanh Chất lượng sản phẩm tuyệt vời,positive
Giá cả chấp nhận được,positive
Nchung là rất ổn ❤️,positive
"Áo quá đẹp luôn nếu không muốn nói là đẹp, may quá có áo mới đi làm cty mới, shop còn mẫu nào trắng nữa để mình mua",positive
"Chưa mặc nhưng thấy chất dày dặn, nhìn chung là hài lòng",positive
😊chất vải đã ok mà hình thì siu ciu luôn í.shop rất nhiệt tình...chịu🤗,positive
Giao hàng nhanh,positive
Thấy khá okz thanks shop,positive
"Chất lượng sản phẩm tuyệt vời,sẽ ủng hộ shop nhiều",positive
"Chất lượng sản phẩm tạm được, vải hơi khô và mỏng",positive
Hàng hoá lừa đảo,negative
Thời gian giao hàng nhanh,positive
Ảnh in đẹp,positive
Giá lại rẻ,positive
Quần áo super đẹp,positive
"Giao hàng thiếu, nt cho shop đã xem mà K có phản hồi gì",negative
Thank shop,positive
Tuyệt vời hơn khi mua trên shopee thì được freeship,positive
Tiếc là ko đặt thêm mấy chiếc,positive
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Thời gian giao hàng rất nhanh,positive
Đồng hồ mua về k sử dụg đc,negative
Chất mềm mịn mát,positive
"Giao thiếu 1b 80k , mà im re",negative
Sản phr rất ưng ý,positive
Chất lượng sản phẩm tuyệt vời,positive
mua lần 2 rồi <3,positive
"Ngực em cuzng bitnhf thường thôi, mà mặc vào nó vừa đẩy vừa sáng cả cái bầu ngực",negative
Quần đợt 2 đặt tận 7 chiếc mà chất quần hoàn toàn xa với đợt 1,positive
99k cũng đáng mua,positive
"Quần đẹp, vừa form",positive
Giao hàng nhanh,positive
"Chất vải xấu, xù",negative
"Sp tạm được, hơi rộng so vs mình",neutral
"Đẹp, chất mềm mại mặc rất thích, chủ shop nhiệt tình Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh",positive
"Giày nhem nhuốc, ố bẩn + Box nát",negative
"Rất đáng tiền, tuy nhiên vải ko được co giãn lắm, nếu là bạn gái từ 55k trở lên thì khó mặc",neutral
Đủ số lượng,positive
Áo y hình Chất lượng sản phẩm tuyệt vời,positive
RẤT ƯNG Ý VÀ CHẤT LƯỢNG!!,positive
"Mật để trong tủ lạnh bị đóng sệt lại, khoảng không trong chai ko di chuyển như mật mình mua ở địa phương",negative
Áo sờ chất rất thích,positive
"Váy quá đẹp,mặc lên rất tôn da",positive
"mình xài hộp màu xanh, sao lại thấy không thơm nhỉ",positive
"Giao hàng nhanh, giống hình",positive
"Shop tặng thêm bánh và 1 đôi tất lười nữa, đáng yêu 😍😍",positive
"Hàng chất lượng tốt, mang đi êm <3",positive
Chất lượng sản phẩm tuyệt vời nhưng màu k giống hình minh đặt,positive
Người giao hàng rất có tâm đấy ạ,positive
Hàng tốt i như trong hình,positive
Giao hàng khá chậm,negative
"Áo đẹp, hơi mỏng",neutral
Đúng hàng loại 1 có khác từ cách đóng gói đến chất lượng sản phẩm quá tốt,positive
"Chất lượng sản phẩm tuyệt vời , ngon bổ re shop a",positive
Màn hình to và khá là hd,positive
Áo khá mỏng và cụt hơn mình nghĩ Đóng gói sản phẩm ok,negative
