SEQUENCE_NAME,MCG,GVH,LIP,CHG,AAC,ALM1,ALM2,CLASS
AAT_ECOLI,0.49,0.29,0.48,0.5,0.56,0.24,0.35,0
ACEA_ECOLI,0.07,0.4,0.48,0.5,0.54,0.35,0.44,0
ACEK_ECOLI,0.56,0.4,0.48,0.5,0.49,0.37,0.46,0
ACKA_ECOLI,0.59,0.49,0.48,0.5,0.52,0.45,0.36,0
ADI_ECOLI,0.23,0.32,0.48,0.5,0.55,0.25,0.35,0
ALKH_ECOLI,0.67,0.39,0.48,0.5,0.36,0.38,0.46,0
AMPD_ECOLI,0.29,0.28,0.48,0.5,0.44,0.23,0.34,0
AMY2_ECOLI,0.21,0.34,0.48,0.5,0.51,0.28,0.39,0
APT_ECOLI,0.2,0.44,0.48,0.5,0.46,0.51,0.57,0
ARAC_ECOLI,0.42,0.4,0.48,0.5,0.56,0.18,0.3,0
ASG1_ECOLI,0.42,0.24,0.48,0.5,0.57,0.27,0.37,0
BTUR_ECOLI,0.25,0.48,0.48,0.5,0.44,0.17,0.29,0
CAFA_ECOLI,0.39,0.32,0.48,0.5,0.46,0.24,0.35,0
CAIB_ECOLI,0.51,0.5,0.48,0.5,0.46,0.32,0.35,0
CFA_ECOLI,0.22,0.43,0.48,0.5,0.48,0.16,0.28,0
CHEA_ECOLI,0.25,0.4,0.48,0.5,0.46,0.44,0.52,0
CHEB_ECOLI,0.34,0.45,0.48,0.5,0.38,0.24,0.35,0
CHEW_ECOLI,0.44,0.27,0.48,0.5,0.55,0.52,0.58,0
CHEY_ECOLI,0.23,0.4,0.48,0.5,0.39,0.28,0.38,0
CHEZ_ECOLI,0.41,0.57,0.48,0.5,0.39,0.21,0.32,0
CRL_ECOLI,0.4,0.45,0.48,0.5,0.38,0.22,0,0
CSPA_ECOLI,0.31,0.23,0.48,0.5,0.73,0.05,0.14,0
CYNR_ECOLI,0.51,0.54,0.48,0.5,0.41,0.34,0.43,0
CYPB_ECOLI,0.3,0.16,0.48,0.5,0.56,0.11,0.23,0
CYPC_ECOLI,0.36,0.39,0.48,0.5,0.48,0.22,0.23,0
CYSB_ECOLI,0.29,0.37,0.48,0.5,0.48,0.44,0.52,0
CYSE_ECOLI,0.25,0.4,0.48,0.5,0.47,0.33,0.42,0
DAPD_ECOLI,0.21,0.51,0.48,0.5,0.5,0.32,0.41,0
DCP_ECOLI,0.43,0.37,0.48,0.5,0.53,0.35,0.44,0
DDLA_ECOLI,0.43,0.39,0.48,0.5,0.47,0.31,0.41,0
DDLB_ECOLI,0.53,0.38,0.48,0.5,0.44,0.26,0.36,0
DEOC_ECOLI,0.34,0.33,0.48,0.5,0.38,0.35,0.44,0
DLDH_ECOLI,0.56,0.51,0.48,0.5,0.34,0.37,0.46,0
EFG_ECOLI,0.4,0.29,0.48,0.5,0.42,0.35,0.44,0
EFTS_ECOLI,0.24,0.35,0.48,0.5,0.31,0.19,0.31,0
EFTU_ECOLI,0.36,0.54,0.48,0.5,0.41,0.38,0.46,0
ENO_ECOLI,0.29,0.52,0.48,0.5,0.42,0.29,0.39,0
FABB_ECOLI,0.65,0.47,0.48,0.5,0.59,0.3,0.4,0
FES_ECOLI,0.32,0.42,0.48,0.5,0.35,0.28,0.38,0
G3P1_ECOLI,0.38,0.46,0.48,0.5,0.48,0.22,0.29,0
G3P2_ECOLI,0.33,0.45,0.48,0.5,0.52,0.32,0.41,0
G6PI_ECOLI,0.3,0.37,0.48,0.5,0.59,0.41,0.49,0
