Style,StyleID,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime
Cream Ale,45,21.77,1.055,1.013,5.48,17.65,4.83,28.39,75
Holiday/Winter Special Spiced Beer,85,20.82,1.083,1.021,8.16,60.65,15.64,24.61,60
American IPA,7,18.93,1.063,1.018,5.91,59.25,8.98,22.71,60
American IPA,7,22.71,1.061,1.017,5.8,54.48,8.5,26.5,60
Belgian Blond Ale,20,50,1.06,1.01,6.48,17.84,4.57,60,90
American Pale Ale,10,24.61,1.055,1.013,5.58,40.12,8,29.34,70
Imperial IPA,86,22.71,1.072,1.018,7.09,268.71,6.33,30.28,90
Cream Ale,45,20.82,1.054,1.014,5.36,19.97,5.94,28.39,75
Robust Porter,129,22.71,1.06,1.016,5.77,31.63,34.76,30.28,75
Imperial IPA,86,20.82,1.08,1.017,8.22,93.02,8.29,28.39,60
American IPA,7,25,1.064,1.014,6.63,64.26,7.78,29,90
American IPA,7,15.14,1.066,1.015,6.62,111,14.26,11.36,90
American IPA,7,20.82,1.073,1.019,7.07,69.72,6.28,28.39,60
American IPA,7,18.93,1.066,1.017,6.51,60.96,10.54,11.36,60
American IPA,7,37.85,1.064,1.017,6.2,64.67,3.91,34.07,60
Bohemian Pilsener,31,41.64,1.051,1.013,4.92,36.8,3.61,49.21,60
Saison,134,20.82,1.073,1.015,7.63,44.94,6.25,28.39,60
American IPA,7,20.82,1.073,1.018,7.14,61.83,8.1,24.61,60
Northern English Brown,113,20.82,1.046,1.01,4.61,13.64,12.56,28.39,90
American IPA,7,21.77,1.062,1.013,6.5,53.3,5.2,28.39,60
English IPA,65,20.82,1.065,1.015,6.63,55.52,9.47,28.39,60
Imperial IPA,86,45.42,1.084,1.02,8.43,79.28,6.26,51.1,60
Saison,134,18.93,1.082,1.013,9.1,0,4.1,21.58,60
English IPA,65,20.82,1.061,1.014,6.17,56.65,5.85,28.39,60
American IPA,7,21,1.062,1.014,6.29,53.57,5.21,25,70
American Pale Ale,10,18.93,1.067,1.017,6.6,0,11.69,18.93,60
American IPA,7,24.61,1.058,1.017,5.34,57.84,3.98,28.39,60
Traditional Bock,163,20,1.065,1.018,6.22,27.12,16.66,25,90
American IPA,7,26.5,1.052,1.012,5.31,60.58,5.82,32.18,60
Robust Porter,129,50,1.058,1.014,5.76,39,38.71,58,60
Premium American Lager,124,48,1.049,1.008,5.41,24.28,3.3,60,90
American IPA,7,18.93,1.074,1.018,7.24,0,7.68,22.71,60
American IPA,7,19.87,1.071,1.018,6.93,68.91,6.82,28.39,60
American IPA,7,20.82,1.065,1.018,6.26,89.61,6.93,28.39,60
Robust Porter,129,22.71,1.053,1.012,5.38,0,46.1,31.95,60
Belgian Golden Strong Ale,23,41.64,1.069,1.005,8.4,40.71,3.11,49.21,90
American Pale Ale,10,20.82,1.049,1.009,5.24,40.86,3.79,26.5,60
American IPA,7,46,13.9618,3.4853,5.65,37.62,4.96,55,90
N/A,111,18.93,1.079,1.019,7.9,0,29.4,24.26,60
Double IPA,56,20.82,1.07,1.015,7.22,78.14,5.67,26.5,60
Blonde Ale,30,22.71,1.043,1.007,4.7,19.68,3.82,28.16,90
Blonde Ale,30,18.93,1.06,1.016,5.83,27.15,5.18,13.25,60
